id,title,type,event,event-slug,Date,speakers,slug,url,permalink,slot,time_start,time_end,content,summary
4142,"Emprendiendo con Data Science, Machine Learning y AI",,Data Day 2017,2017,2017-03-07,jesus-ramos,emprendiendo-con-datos-machine-learning-ai,/session/emprendiendo-con-datos-machine-learning-ai/,https://sg.com.mx/dataday/session/emprendiendo-con-datos-machine-learning-ai/,,2017-03-28T10:20:00.000-05:00,2017-03-28T11:00:00.000-05:00,"La economía de datos es un ""must"" para empresas que quieran vivir en el s.XXI. En México, entrarle a este modelo económico es más urgente a la luz de la baja de petroprecios, cierre comercial con EU y corrupción fuera de control. En esta charla presentaremos un framework para superar estos 3 obstáculos como nación, y los modelos de negocio que pueden crearse alrededor de la data pública o privada, como extracción y curación, enriquecimiento, exploración y visualización, y finalmente, predicción.",
4163,Aplicación de estadística espacial en salud pública,,Data Day 2017,2017,2017-03-07,david-lampon,una-nueva-metrica-de-salud-y-bienestar-para-mexico,/session/una-nueva-metrica-de-salud-y-bienestar-para-mexico/,https://sg.com.mx/dataday/session/una-nueva-metrica-de-salud-y-bienestar-para-mexico/,,2017-03-28T11:40:00.000-05:00,2017-03-28T12:20:00.000-05:00,"Medir la salud en México solo por el número de personas que ingresan a hospitales deja fuera muchísimas otras variables, como estilo de vida, lugar de residencia, propensión a otras enfermedades, y sobre todo, bagaje genético. En esta charla introduciremos un nuevo índice de salud construido con técnicas de feature selection que no solo mide de lo que nos enfermamos, sino de lo que no.",
4164,Arquitectura Empresarial como prerrequisito para Ciencia de Datos,,Data Day 2017,2017,2017-03-07,eduardo-jallath,arquitectura-empresarial-como-prerrequisito-para-ciencia-de-datos-el-caso-inegi,/session/arquitectura-empresarial-como-prerrequisito-para-ciencia-de-datos-el-caso-inegi/,https://sg.com.mx/dataday/session/arquitectura-empresarial-como-prerrequisito-para-ciencia-de-datos-el-caso-inegi/,,2017-03-28T11:40:00.000-05:00,2017-03-28T12:20:00.000-05:00,"Muchas organizaciones quieren entrar en el mundo de los datos. Muchas lo hacen sin tener perfectamente trazada su cadena de valor ni sus procesos operativos sólidos. Esto resulta en equipos de Ciencia de Datos mal armados que terminan haciendo Business Intelligence, o proyectos de cortísimo alcance, o cancelados por alto costo y nulo retorno. La arquitectura empresarial ofrece un modelo de madurez para preparar a las empresas para proyectos de automatización con Machine Learning.",
4278,AnalyticZ ... De la A a la Z con Amazon Web Services,,Data Day 2017,2017,2017-03-07,alejandro-flores,sesion-presentada-por-amazon-2,/session/sesion-presentada-por-amazon-2/,https://sg.com.mx/dataday/session/sesion-presentada-por-amazon-2/,,2017-03-28T11:40:00.000-05:00,2017-03-28T12:20:00.000-05:00,"Construir una aplicación de Big Data frecuentemente requiere integrar un conjunto de tecnologías para almacenar, procesar y analizar la creciente variedad, velocidad y volumen de datos dentro de las organizaciones. En esta sesión, se mostrará cómo se puede construir una aplicación de Big Data a lo largo de todo el pipeline utilizando los servicios que Amazon Web Services ofrece como parte de su portafolio.

Daremos un viaje paso a paso, a través de la construcción y seguridad de una aplicación de Big Data y compartiremos mejores prácticas y casos de uso muy comunes que sirvan como guía para elegir la mejor solución que se adapte a las necesidades específicas de cada ambiente.",
4165,Machine Learning en Digital Media: Etiquetando Contenido Editorial,,Data Day 2017,2017,2017-03-07,liliana-millan,machine-learning-en-digital-media-etiquetando-contenido-editorial,/session/machine-learning-en-digital-media-etiquetando-contenido-editorial/,https://sg.com.mx/dataday/session/machine-learning-en-digital-media-etiquetando-contenido-editorial/,,2017-03-28T12:20:00.000-05:00,2017-03-28T13:00:00.000-05:00,"Los medios digitales actualmente se encuentran bajo gran presión financiera, al grado de recurrir a técnicas de ""click bait"" y sacrificando la calidad de su contenido. La alternativa es buscar eficiencias operativas en su cadena de valor. Presentaremos una técnica para etiquetado automático de contenidos que puede automatizar el trabajo del editor y resultar en mayor tráfico de calidad y el cross-selling de contenidos.",
4171,"Scrapping de Datos ni tan Abiertos, ni tan Públicos",,Data Day 2017,2017,2017-03-07,paco-mekler,scrapping-de-datos-ni-tan-abiertos-ni-tan-publicos,/session/scrapping-de-datos-ni-tan-abiertos-ni-tan-publicos/,https://sg.com.mx/dataday/session/scrapping-de-datos-ni-tan-abiertos-ni-tan-publicos/,,2017-03-28T12:20:00.000-05:00,2017-03-28T13:00:00.000-05:00,"México tiene una abundancia de datos abiertos, pero para poder contar una historia coherente sobre nuestro gobierno y exigir rendición de cuentas, se requieren otros datos que son un poco más difíciles de conseguir. En este workshop descargaremos bases de datos enteras que, como ciudadanos, nos pertenecen y a través de los cuales podemos conocer más sobre cómo se usan nuestros recursos.",
4242,Big Data Fortaleciendo Decisiones Empresariales,,Data Day 2017,2017,2017-03-07,jose-aimer-suarez-hernandez,big-data-fortaleciendo-decisiones-empresariales,/session/big-data-fortaleciendo-decisiones-empresariales/,https://sg.com.mx/dataday/session/big-data-fortaleciendo-decisiones-empresariales/,,2017-03-28T12:20:00.000-05:00,2017-03-28T13:00:00.000-05:00,"En LUCA ayudamos a nuestros clientes a desarrollar tu estrategia data-driven tanto desde la perspectiva técnica, como desde el área de transformación cultural en tu empresa. Además, nos aseguramos de que la seguridad de los datos está muy presente en todos los proyectos. En la ponencia presentaremos la visión de Telefónica sobre la importancia del dato para la toma de decisiones.",
4166,Modelando La Complejidad Urbana: Desde San Luis Río Colorado hasta la CDMX,,Data Day 2017,2017,2017-03-07,irving-morales-agiss,modelando-la-complejidad-urbana-desde-san-luis-rio-colorado-hasta-la-cdmx,/session/modelando-la-complejidad-urbana-desde-san-luis-rio-colorado-hasta-la-cdmx/,https://sg.com.mx/dataday/session/modelando-la-complejidad-urbana-desde-san-luis-rio-colorado-hasta-la-cdmx/,,2017-03-28T13:00:00.000-05:00,2017-03-28T13:40:00.000-05:00,"Las ciudades están vivas, y como tal, tienen numerosos sistemas en múltiples capas trabajando simultáneamente, como el de transporte, agua potable, y el más complejo, sus habitantes. Mejoras locales a cada sistema aislado serán negadas por la influencia de otro. Los sistemas complejos ofrecen herramientas eficaces para modelar fenómenos urbanos como un todo.",
4168,Workshop - Diseñando un Big Pipeline para Big Data,,Data Day 2017,2017,2017-03-07,fernando-cisneros,disenando-un-big-pipeline-para-big-data,/session/disenando-un-big-pipeline-para-big-data/,https://sg.com.mx/dataday/session/disenando-un-big-pipeline-para-big-data/,,2017-03-28T13:00:00.000-05:00,2017-03-28T14:20:00.000-05:00,"Los problemas de las infraestructuras de Big Data comienzan al tratar de operar decenas de imágenes de Docker, cientos de componentes, y miles de scripts. Con el tiempo, la falta de escalabilidad en la administración y el alto costo operativo puede tumbar toda el área de Ciencia de Datos de una empresa. En este taller veremos como un equipo pequeño puede crear una infra de millones de registros y operarla automáticamente sin volverse prohibitivamente costosa.",
4279,Construyendo una Oficina de Datos de Alto Desempeño,,Data Day 2017,2017,2017-03-07,victor-barrera,instituto-internacional-de-ciencia-de-datos,/session/instituto-internacional-de-ciencia-de-datos/,https://sg.com.mx/dataday/session/instituto-internacional-de-ciencia-de-datos/,,2017-03-28T13:00:00.000-05:00,2017-03-28T13:40:00.000-05:00,"En está charla describiremos algunas consideraciones que debería tener presente una compañía, al momento emprender el camino hacia la conversión en una organización capaz de tomar decisiones basadas en datos. Conoceremos los talentos que deberían estar presentes en el recurso humano que estaría conformando la Oficina de Datos, las actividades mínimas fundamentales que debería realizar para ofrecer mejores decisiones a la organización, su misión y propósito significativo, y una propuesta de estructura organizacional, y su articulación con el resto de áreas de la compañía.",
